PW(µs),Azimuth(º),Elevation(º),Power(dBm),Freq(MHz),cluster
1.01,181.757813,90.0,-43.5,4543.46,0
1.01,173.320313,90.0,-45.5,4543.605,0
1.01,180.0,90.0,-44.0,4543.605,0
1.01,181.757813,90.0,-43.5,4543.645,0
1.01,181.757813,90.0,-47.5,4543.695,0
1.01,178.242188,90.0,-47.5,4543.56,0
12.04,181.757813,90.0,-43.0,4543.695,0
12.15,180.0,90.0,-43.0,4543.605,0
12.04,181.757813,90.0,-43.0,4543.795,0
12.04,183.164063,90.0,-43.5,4543.605,0
12.04,181.757813,90.0,-43.0,4543.605,0
12.04,181.757813,90.0,-43.0,4543.645,0
12.04,183.164063,90.0,-43.5,4543.605,0
12.04,181.757813,90.0,-43.0,4543.645,0
12.04,181.757813,90.0,-43.0,4543.795,0
12.15,183.164063,90.0,-43.0,4543.605,0
12.04,180.0,90.0,-43.5,4543.645,0
12.16,180.0,90.0,-43.5,4543.695,0
12.15,181.757813,90.0,-43.0,4543.51,0
12.04,178.242188,90.0,-43.5,4543.695,0
12.15,180.0,90.0,-43.5,4543.645,0
12.15,180.0,90.0,-43.5,4543.645,0
12.04,180.0,90.0,-43.5,4543.605,0
12.04,180.0,90.0,-43.0,4543.745,0
12.15,181.757813,90.0,-43.0,4543.605,0
12.04,181.757813,90.0,-43.0,4543.41,0
12.15,181.757813,90.0,-43.0,4543.695,0
12.04,181.757813,90.0,-43.0,4543.745,0
12.15,181.757813,90.0,-43.0,4543.56,0
12.15,181.757813,90.0,-43.0,4543.46,0
12.04,181.757813,90.0,-43.0,4543.645,0
12.04,180.0,90.0,-43.0,4543.695,0
9.88,109.335938,90.0,-55.0,1384.25,1
9.9,103.007813,90.0,-54.5,1384.155,1
9.89,99.84375,90.0,-59.5,1393.94,1
9.89,34.804688,90.0,-52.5,1378.9,1
9.9,37.617188,90.0,-52.5,1378.9,1
12.15,183.164063,90.0,-43.0,4543.84,0
12.04,181.757813,90.0,-43.0,4543.56,0
12.15,181.757813,90.0,-43.0,4543.795,0
12.04,181.757813,90.0,-43.0,4543.695,0
12.15,181.757813,90.0,-42.5,4543.645,0
12.15,181.757813,90.0,-42.5,4543.605,0
12.15,181.757813,90.0,-42.5,4543.695,0
12.16,181.757813,90.0,-43.0,4543.46,0
12.04,181.757813,90.0,-43.0,4543.695,0
12.04,181.757813,90.0,-42.5,4543.645,0
12.16,180.0,90.0,-43.0,4543.93,0
12.15,181.757813,90.0,-43.0,4543.605,0
12.15,183.164063,90.0,-43.0,4543.56,0
12.04,183.164063,90.0,-43.0,4543.605,0
12.04,181.757813,90.0,-42.5,4543.695,0
12.16,181.757813,90.0,-42.5,4543.41,0
12.16,181.757813,90.0,-42.5,4543.56,0
12.04,181.757813,90.0,-42.5,4543.795,0
12.15,181.757813,90.0,-42.5,4543.695,0
12.04,180.0,90.0,-43.0,4543.605,0
12.15,181.757813,90.0,-42.5,4543.745,0
12.04,181.757813,90.0,-42.5,4543.695,0
12.16,180.0,90.0,-43.0,4543.795,0
12.16,181.757813,90.0,-42.5,4543.645,0
12.15,181.757813,90.0,-42.5,4543.795,0
12.15,181.757813,90.0,-42.5,4543.745,0
12.15,180.0,90.0,-43.0,4543.695,0
12.15,181.757813,90.0,-42.5,4543.795,0
12.16,181.757813,90.0,-42.5,4543.795,0
12.04,181.757813,90.0,-42.5,4543.56,0
1.0,180.0,90.0,-60.0,4543.93,0
1.01,181.757813,90.0,-60.0,4544.065,0
1.01,181.757813,90.0,-60.0,4543.645,0
12.15,181.757813,90.0,-43.0,4543.645,0
12.04,180.0,90.0,-43.0,4543.695,0
1.01,181.757813,90.0,-53.5,4543.51,0
1.01,180.0,90.0,-53.5,4543.795,0
12.15,180.0,90.0,-43.0,4543.51,0
12.16,181.757813,90.0,-42.5,4543.695,0
12.04,181.757813,90.0,-42.5,4543.84,0
12.04,181.757813,90.0,-42.5,4543.695,0
1.01,180.0,90.0,-53.0,4543.795,0
1.01,180.0,90.0,-53.0,4543.645,0
1.01,183.164063,90.0,-53.5,4543.645,0
1.01,180.0,90.0,-53.5,4543.605,0
12.04,181.757813,90.0,-42.5,4543.605,0
12.15,180.0,90.0,-43.0,4543.605,0
12.15,181.757813,90.0,-43.0,4543.46,0
12.04,183.164063,90.0,-43.0,4543.56,0
12.16,180.0,90.0,-43.0,4543.56,0
12.15,180.0,90.0,-43.0,4543.56,0
12.16,181.757813,90.0,-43.0,4543.645,0
12.16,181.757813,90.0,-43.0,4543.51,0
12.15,181.757813,90.0,-42.5,4543.56,0
12.04,180.0,90.0,-43.0,4543.605,0
12.04,180.0,90.0,-43.0,4543.51,0
12.04,183.164063,90.0,-43.0,4543.605,0
12.04,181.757813,90.0,-43.0,4543.605,0
12.16,183.164063,90.0,-43.0,4543.695,0
12.15,180.0,90.0,-43.0,4543.605,0
12.04,181.757813,90.0,-43.0,4543.645,0
12.04,180.0,90.0,-43.0,4543.56,0
12.15,180.0,90.0,-43.0,4543.605,0
12.04,181.757813,90.0,-43.0,4543.56,0
12.16,180.0,90.0,-43.0,4543.56,0
12.15,183.164063,90.0,-43.0,4543.645,0
12.16,181.757813,90.0,-43.0,4543.645,0
12.15,180.0,90.0,-43.0,4543.56,0
12.16,181.757813,90.0,-43.0,4543.695,0
12.04,181.757813,90.0,-42.5,4543.695,0
12.15,180.0,90.0,-43.0,4543.84,0
12.04,180.0,90.0,-49.0,4543.745,0
12.04,181.757813,90.0,-49.0,4543.795,0
12.04,180.0,90.0,-43.0,4543.795,0
12.04,183.164063,90.0,-43.0,4543.645,0
12.04,181.757813,90.0,-42.5,4543.695,0
12.04,183.164063,90.0,-43.0,4543.645,0
