PW(µs),Azimuth(º),Elevation(º),Power(dBm),Freq(MHz),cluster
5.47,15.46875,90.0,-61.0,1425.92,0
10.03,118.828125,90.0,-18.0,1375.55,0
5.83,99.84375,90.0,-38.5,1425.51,0
5.68,128.320313,90.0,-33.5,1375.65,0
5.59,128.320313,90.0,-33.0,1375.69,0
8.35,93.164063,90.0,-46.0,1425.55,0
5.77,29.179688,90.0,-59.0,1425.92,0
8.32,90.0,90.0,-45.5,1425.6,0
6.4,22.851563,90.0,-58.5,1426.06,0
12.19,114.609375,90.0,-18.0,1425.69,0
12.13,114.609375,90.0,-18.0,1425.735,0
12.1,113.90625,90.0,-18.0,1425.735,0
5.74,114.609375,90.0,-18.0,1425.6,0
5.74,113.90625,90.0,-18.0,1425.69,0
5.74,112.5,90.0,-18.0,1425.735,0
9.19,76.992188,90.0,-38.0,1425.325,0
9.25,80.15625,90.0,-37.5,1425.415,0
7.81,111.09375,90.0,-41.5,1375.92,0
8.65,111.09375,90.0,-41.0,1375.6,0
7.78,112.5,90.0,-40.5,1375.69,0
15.13,122.34375,90.0,-40.5,1425.6,0
15.13,123.75,90.0,-40.5,1425.65,0
14.59,68.90625,90.0,-36.5,1425.875,0
7.81,68.90625,90.0,-36.5,1425.92,0
7.87,65.390625,90.0,-37.0,1425.875,0
8.74,91.757813,90.0,-34.0,1425.785,0
8.74,91.757813,90.0,-34.0,1425.92,0
9.25,91.757813,90.0,-38.0,1426.01,0
15.49,91.757813,90.0,-38.0,1425.785,0
15.52,86.835938,90.0,-38.0,1425.785,0
15.37,81.5625,90.0,-39.5,1425.97,0
7.63,99.84375,90.0,-35.0,1375.92,0
5.68,287.929688,90.0,-67.0,1374.73,0
10.78,107.929688,90.0,-17.5,1425.69,0
10.57,107.929688,90.0,-17.5,1425.735,0
10.45,109.335938,90.0,-17.5,1425.97,0
10.69,109.335938,90.0,-18.0,1426.01,0
12.34,109.335938,90.0,-17.5,1425.735,0
12.34,107.929688,90.0,-17.5,1425.69,0
4.48,114.609375,90.0,-43.5,1376.01,0
10.15,117.421875,90.0,-18.0,1375.69,0
9.7,117.421875,90.0,-18.0,1375.69,0
16.03,72.070313,90.0,-19.5,1425.69,0
15.34,72.070313,90.0,-19.5,1425.65,-1
5.83,84.726563,90.0,-35.0,1425.835,0
6.97,86.835938,90.0,-35.0,1425.97,0
8.59,95.273438,90.0,-30.5,1425.735,0
8.8,95.273438,90.0,-30.5,1425.785,0
8.05,112.5,90.0,-18.0,1425.65,0
7.81,112.5,90.0,-18.0,1425.51,0
11.17,112.5,90.0,-18.0,1425.65,0
7.81,109.335938,90.0,-17.5,1425.6,0
8.5,88.242188,90.0,-32.5,1425.875,0
8.44,84.726563,90.0,-33.5,1425.97,0
8.38,98.4375,90.0,-34.5,1425.875,0
8.38,101.601563,90.0,-35.5,1426.01,0
8.59,83.320313,90.0,-33.5,1425.735,0
8.59,84.726563,90.0,-32.5,1425.69,0
3.43,204.609375,90.0,-68.0,1425.465,0
11.74,114.609375,90.0,-40.5,1425.69,0
11.95,112.5,90.0,-40.0,1425.69,0
14.17,125.507813,90.0,-40.0,1376.06,0
10.18,125.507813,90.0,-40.0,1376.105,0
5.77,107.929688,90.0,-36.0,1425.69,0
5.74,106.523438,90.0,-36.5,1425.51,0
10.72,96.679688,90.0,-41.0,1425.55,0
10.75,95.273438,90.0,-40.5,1425.51,0
7.33,112.5,90.0,-31.0,1375.65,0
12.85,111.09375,90.0,-31.0,1375.69,0
12.34,121.289063,90.0,-18.0,1375.65,0
7.9,105.117188,90.0,-35.0,1425.835,0
7.9,106.523438,90.0,-34.5,1425.835,0
7.93,106.523438,90.0,-34.5,1425.785,0
7.87,106.523438,90.0,-34.5,1425.735,0
7.81,114.609375,90.0,-18.0,1425.69,0
7.3,114.609375,90.0,-18.0,1425.735,0
7.12,109.335938,90.0,-17.5,1425.735,0
7.03,113.90625,90.0,-18.0,1425.69,0
6.97,114.609375,90.0,-18.0,1425.6,0
4.54,114.609375,90.0,-42.5,1375.97,0
7.39,103.007813,90.0,-32.5,1375.785,0
10.39,48.515625,90.0,-43.5,1425.735,0
4.39,41.835938,90.0,-66.5,1425.51,0
9.64,48.515625,90.0,-43.5,1425.6,0
10.39,48.515625,90.0,-44.0,1425.6,0
4.3,50.625,90.0,-66.0,1425.65,0
10.33,48.515625,90.0,-43.5,1425.6,0
7.9,86.835938,90.0,-37.5,1375.65,0
7.72,86.835938,90.0,-38.0,1375.55,0
7.12,103.007813,90.0,-42.0,1425.465,0
7.12,105.117188,90.0,-43.0,1425.51,0
9.58,105.117188,90.0,-42.0,1376.245,0
9.73,105.117188,90.0,-42.0,1376.245,0
8.2,99.84375,90.0,-35.0,1425.735,0
6.52,333.984375,90.0,-64.5,1425.92,0
8.29,101.601563,90.0,-35.5,1425.69,0
4.99,356.835938,90.0,-56.5,1425.69,0
6.1,112.5,90.0,-46.5,1425.835,0
6.13,113.90625,90.0,-46.5,1425.65,0
4.42,52.734375,90.0,-70.5,1425.69,0
7.12,96.679688,90.0,-36.5,1425.785,0
7.06,96.679688,90.0,-36.5,1425.785,0
6.97,101.601563,90.0,-17.0,1425.55,0
6.88,101.601563,90.0,-17.0,1425.55,0
7.0,101.601563,90.0,-17.0,1425.6,0
7.0,112.5,90.0,-18.0,1425.6,0
7.24,99.84375,90.0,-16.5,1425.6,0
6.73,99.84375,90.0,-16.5,1425.6,0
10.84,93.164063,90.0,-37.5,1425.735,0
14.95,91.757813,90.0,-37.5,1425.735,0
241.18,123.75,90.0,-40.0,1376.33,1
14.89,112.5,90.0,-34.5,1375.835,0
20.2,119.882813,90.0,-36.0,1425.69,0
5.35,119.882813,90.0,-36.0,1425.875,0
8.08,117.421875,90.0,-35.0,1375.835,0
10.78,53.4375,90.0,-58.5,1375.055,0
8.23,118.828125,90.0,-35.5,1375.92,0
7.99,101.601563,90.0,-39.5,1425.6,0
7.54,98.4375,90.0,-38.5,1425.6,0
7.15,80.15625,90.0,-39.5,1425.465,0
7.27,78.398438,90.0,-40.0,1425.6,0
10.3,116.015625,90.0,-35.5,1425.735,0
10.24,117.421875,90.0,-35.0,1425.785,0
5.05,103.007813,90.0,-35.5,1425.6,0
5.05,105.117188,90.0,-35.5,1425.51,0
5.98,107.929688,90.0,-17.5,1425.69,0
5.95,107.929688,90.0,-17.5,1425.69,0
5.95,105.117188,90.0,-17.5,1425.6,0
5.95,106.523438,90.0,-17.5,1425.69,0
5.92,106.523438,90.0,-17.5,1425.735,0
5.95,106.523438,90.0,-17.5,1425.65,0
14.05,106.523438,90.0,-35.5,1425.65,0
14.02,107.929688,90.0,-35.0,1425.735,0
6.67,103.007813,90.0,-34.5,1425.92,0
6.64,105.117188,90.0,-34.5,1425.97,0
5.47,106.523438,90.0,-34.5,1425.92,0
5.47,106.523438,90.0,-34.5,1426.01,0
6.88,99.84375,90.0,-37.0,1375.6,0
6.94,111.09375,90.0,-40.5,1375.465,0
9.67,99.84375,90.0,-16.5,1425.65,0
9.67,96.679688,90.0,-16.5,1425.65,0
17.8,111.09375,90.0,-34.5,1375.69,0
17.98,111.09375,90.0,-34.5,1375.875,0
17.17,96.679688,90.0,-38.0,1425.65,0
17.92,96.679688,90.0,-38.0,1425.55,0
5.47,96.679688,90.0,-38.5,1425.51,0
9.34,61.171875,90.0,-41.5,1425.55,0
19.72,60.117188,90.0,-41.5,1425.69,0
9.22,63.984375,90.0,-40.5,1425.875,0
9.25,62.578125,90.0,-40.0,1425.875,0
15.07,105.117188,90.0,-18.0,1425.735,0
15.07,105.117188,90.0,-18.0,1425.69,0
14.95,105.117188,90.0,-17.5,1425.785,0
15.01,106.523438,90.0,-18.0,1425.785,0
15.1,106.523438,90.0,-17.5,1425.69,0
7.18,95.273438,90.0,-33.5,1425.735,0
7.12,93.164063,90.0,-34.0,1425.835,0
8.8,107.929688,90.0,-17.5,1425.69,0
8.98,107.929688,90.0,-17.5,1425.6,0
8.89,107.929688,90.0,-17.5,1425.65,0
8.89,107.929688,90.0,-17.5,1425.65,0
8.83,107.929688,90.0,-17.5,1425.6,0
4.45,111.09375,90.0,-44.0,1376.06,0
8.8,117.421875,90.0,-37.0,1425.835,0
8.89,117.421875,90.0,-37.0,1425.785,0
8.77,116.015625,90.0,-37.0,1425.875,0
8.77,117.421875,90.0,-36.5,1425.785,0
18.07,67.5,90.0,-44.0,1425.69,0
17.08,72.070313,90.0,-44.0,1425.65,0
8.98,111.09375,90.0,-17.5,1375.65,0
9.13,112.5,90.0,-17.5,1375.69,0
10.24,98.4375,90.0,-16.5,1425.55,0
10.27,98.4375,90.0,-16.5,1425.69,0
9.88,106.523438,90.0,-18.0,1425.6,0
4.42,113.90625,90.0,-44.5,1375.785,0
237.67,121.289063,90.0,-38.0,1376.105,1
8.77,126.5625,90.0,-34.0,1375.6,0
15.13,103.007813,90.0,-17.5,1425.785,0
4.42,106.523438,90.0,-46.0,1376.145,0
17.59,95.273438,90.0,-37.0,1425.92,0
17.62,96.679688,90.0,-37.5,1426.06,0
5.59,107.929688,90.0,-45.0,1425.875,0
3.37,7.03125,90.0,-67.0,1425.835,0
5.62,109.335938,90.0,-45.0,1426.105,0
